,PartitionKey,RowKey,Timestamp,message,etag
73,U28e9756ad64dc288d66c67b8c59b97f3,1582604987,2020-02-25 04:29:47.112152+00:00,ผิด,"W/""datetime'2020-02-25T04%3A29%3A47.112152Z'"""
74,U297fda63a6cb8bb890a2145a64fe8f89,1582604266,2020-02-25 04:17:46.174504+00:00,สวัสดี,"W/""datetime'2020-02-25T04%3A17%3A46.1745042Z'"""
75,U297fda63a6cb8bb890a2145a64fe8f89,1582604355,2020-02-25 04:19:15.389281+00:00,img : Ascaris,"W/""datetime'2020-02-25T04%3A19%3A15.3892813Z'"""
76,U297fda63a6cb8bb890a2145a64fe8f89,1582604377,2020-02-25 04:19:37.341656+00:00,ลักษณะเด่นของไข่พยาธิ,"W/""datetime'2020-02-25T04%3A19%3A37.341656Z'"""
77,U297fda63a6cb8bb890a2145a64fe8f89,1582604449,2020-02-25 04:20:49.619323+00:00,อาการ,"W/""datetime'2020-02-25T04%3A20%3A49.6193236Z'"""
78,U297fda63a6cb8bb890a2145a64fe8f89,1582604545,2020-02-25 04:22:25.973327+00:00,img : Trichuris,"W/""datetime'2020-02-25T04%3A22%3A25.9733278Z'"""
79,U297fda63a6cb8bb890a2145a64fe8f89,1582609628,2020-02-25 05:47:08.601681+00:00,img : not a parasite image,"W/""datetime'2020-02-25T05%3A47%3A08.6016817Z'"""
80,U2fc128b1dfb37dd08c5e038a92c4a405,1582604253,2020-02-25 04:17:33.807985+00:00,เราสวยไหม,"W/""datetime'2020-02-25T04%3A17%3A33.8079855Z'"""
81,U2fc128b1dfb37dd08c5e038a92c4a405,1582604266,2020-02-25 04:17:46.957695+00:00,ดี,"W/""datetime'2020-02-25T04%3A17%3A46.9576959Z'"""
82,U2fc128b1dfb37dd08c5e038a92c4a405,1582604308,2020-02-25 04:18:28.179207+00:00,img : Ascaris,"W/""datetime'2020-02-25T04%3A18%3A28.1792078Z'"""
83,U2fc128b1dfb37dd08c5e038a92c4a405,1582604416,2020-02-25 04:20:16.713689+00:00,img : Trichuris,"W/""datetime'2020-02-25T04%3A20%3A16.7136895Z'"""
84,U2fc128b1dfb37dd08c5e038a92c4a405,1582604428,2020-02-25 04:20:28.079724+00:00,อาการ,"W/""datetime'2020-02-25T04%3A20%3A28.0797243Z'"""
85,U2fc128b1dfb37dd08c5e038a92c4a405,1582604433,2020-02-25 04:20:33.484966+00:00,ชนิดของไข่พยาธิ,"W/""datetime'2020-02-25T04%3A20%3A33.4849667Z'"""
86,U2fc128b1dfb37dd08c5e038a92c4a405,1582604436,2020-02-25 04:20:36.156910+00:00,รู้ได้อย่างไรว่าติดพยาธิ,"W/""datetime'2020-02-25T04%3A20%3A36.1569101Z'"""
87,U2fc128b1dfb37dd08c5e038a92c4a405,1582604439,2020-02-25 04:20:39.230711+00:00,ลักษณะเด่นของไข่พยาธิ,"W/""datetime'2020-02-25T04%3A20%3A39.2307112Z'"""
88,U2fc128b1dfb37dd08c5e038a92c4a405,1582604968,2020-02-25 04:29:28.602872+00:00,img : hookworms,"W/""datetime'2020-02-25T04%3A29%3A28.6028725Z'"""
89,U2fc128b1dfb37dd08c5e038a92c4a405,1582604976,2020-02-25 04:29:36.122269+00:00,รู้ได้อย่างไรว่าติดพยาธิ,"W/""datetime'2020-02-25T04%3A29%3A36.122269Z'"""
90,U2fc128b1dfb37dd08c5e038a92c4a405,1582605011,2020-02-25 04:30:11.531987+00:00,img : Ascaris,"W/""datetime'2020-02-25T04%3A30%3A11.5319879Z'"""
